TEAM	PAKE	PASE	WIN%
Robert Morris	-0.2	-0.2	0.0
Rutgers	0.3	0.4	0.5
Saint Joseph's	-0.9	-1.0	0.25
Saint Louis	-0.2	-0.6	0.429
Saint Mary's	-2.7	-1.6	0.385
Saint Peter's	2.6	2.7	0.6
Sam Houston St.	-0.2	-0.2	0.0
San Diego	0.7	0.8	0.5
San Diego St.	-0.1	0.2	0.524
San Francisco	-1.0	-0.6	0.0
Seton Hall	-2.4	-2.7	0.167
Siena	0.5	0.9	0.4
SMU	-2.6	-2.1	0.0
South Alabama	-0.4	-0.6	0.0
South Carolina	2.9	3.1	0.8
South Dakota St.	-1.6	-1.7	0.0
South Florida	0.1	0.5	0.5
Southern	-0.1	0.0	0.0
Southern Miss	-0.4	-0.6	0.0
St. Bonaventure	-1.6	-1.4	0.0
St. John's	-1.3	-1.7	0.0
Stanford	1.5	1.5	0.667
Stephen F. Austin	0.1	0.5	0.286
Stony Brook	-0.2	-0.3	0.0
Syracuse	5.6	4.7	0.677
TCU	-0.8	-0.7	0.4
Temple	-2.6	-3.6	0.222
Tennessee	-2.6	-1.0	0.565
Texas	-5.5	-4.6	0.455
Texas A&M	0.0	0.1	0.5
Texas A&M Corpus Chris	0.0	0.0	0.0
Texas Southern	-0.1	-0.2	0.0
Texas Tech	1.9	3.7	0.688
Troy	-0.1	-0.1	0.0
Tulsa	-0.3	-0.3	0.0
UAB	0.6	0.3	0.333
UC Davis	0.0	0.0	0.0
UC Irvine	0.5	0.5	0.333
UC Santa Barbara	-0.9	-0.9	0.0
UCF	0.2	0.4	0.5
UCLA	4.5	5.1	0.667
UMBC	0.9	0.9	0.333
UNC Asheville	-0.3	-0.2	0.0
UNC Greensboro	-0.4	-0.5	0.0
UNC Wilmington	-0.7	-0.8	0.0
UNLV	-2.5	-3.4	0.167
USC	-1.1	-0.6	0.417
UT Arlington	0.0	0.0	0.0
Utah	-0.8	-1.2	0.5
Utah St.	-4.4	-3.6	0.0
UTEP	-0.6	-0.5	0.0
UTSA	0.0	0.0	0.0
Valparaiso	-0.9	-0.4	0.0
Vanderbilt	-3.4	-5.0	0.167
VCU	-0.4	-1.1	0.389
Vermont	-1.7	-0.9	0.0
Villanova	4.8	4.0	0.725
Virginia	-6.7	-7.3	0.619
Virginia Tech	-2.6	-2.1	0.286
Wake Forest	-0.6	-1.2	0.333
Washington	0.7	1.3	0.556
Washington St.	0.2	0.5	0.667
Weber St.	-0.3	-0.1	0.0
West Virginia	-1.1	-0.2	0.56
Western Kentucky	2.0	2.0	0.429
Western Michigan	-0.2	-0.2	0.0
Wichita St.	-0.8	0.2	0.562
Winthrop	-0.7	-1.0	0.0
Wisconsin	2.5	4.0	0.639
Wofford	-1.2	-0.9	0.167
Wright St.	-0.2	-0.2	0.0
Wyoming	-0.2	-0.5	0.0
Xavier	4.1	2.7	0.643
Yale	-0.1	0.2	0.25
